Campos obrigatorios;;;;;
Nome do campo;Tipo;Categoria;Descrição;Características;DBF
23-UF ;Varchar2(2);"Tabela com código e siglas das UF padronizados pelo 
IBGE. ";"Unidade Federativa 
de residência do 
paciente. ";"Se campo 31-País for Brasil. 
 
Se preenchido o campo CEP, a UF é preenchida automaticamente pelo 
sistema e desabilitada para edição";SG_UF
"24-Município 
Código (IBGE) ";Varchar2(6);"Tabela com código e nome dos Municípios 
padronizados pelo IBGE. ";"Município de 
residência do 
paciente.";"Se campo 31-País for Brasil. 
 
Se preenchido o campo CEP, o Município e seu respectivo código IBGE são 
preenchidos automaticamente pelo sistema e desabilitados para edição. 
 
Se o CEP não for preenchido, o campo é habilitado depois de selecionada 
uma UF no campo 23. Nesse caso, o sistema abre tabela com os municípios 
da UF. 
 
Preenchendo o nome do município, o código é preenchido 
automaticamente, ou vice- versa.";"ID_MN_RESI OU 
CO_MUN_RES"
31-País (se residente fora do Brasil) ;Varchar2(3);"Tabela com código e nome 
dos Países. ";"País de residência 
do paciente.";"Se preenchido CEP, ou for selecionada uma UF, o campo País é preenchido 
automaticamente pelo sistema e desabilitado para edição. 
 
Se selecionado País  
diferente de Brasil, os campos 22 a 28 são desabilitados.";"ID_PAIS OU 
CO_PAIS "
36- Recebeu vacina COVID-19?;Varchar(1) ;"1-Sim 
2-Não 
9-Ignorado ";"Informar se o 
paciente recebeu 
vacina COVID-19, 
após verificar a 
documentação / 
caderneta";*Integração com a Base Nacional de Vacinação ;VACINA_COV 
49-Data da internação por SRAG ;"Date 
DD/MM/AAAA";;"Data em que o 
paciente foi 
hospitalizado. ";"Data deve ser maior ou igual a 2- Data de 1ºs sintomas e menor ou igual a 
data da digitação (atual). ";DT_INTERNA
78-Classificação final do caso;Varchar2(1) ;"1-SRAG por influenza 
2-SRAG por outro vírus 
respiratório 
3-SRAG por outro agente 
etiológico, qual:  
4-SRAG não especificado 
5-SRAG por covid-19";"Diagnóstico final do 
caso. 
 
Se tiver resultados 
divergentes entre 
as metodologias 
laboratoriais, 
priorizar o 
resultado  do  RT
PCR.";;CLASSI_FIN 
"78-Classificação final do caso  
3-SRAG por outra causa , qual: ";Varchar2(30) ;;"Descrição de qual 
outro agente 
etiológico foi 
identificado ";"Se campo 78-Classificação final do caso = 3. 
 
Habilitado se campo 78-Classificação final do caso = 3. ";CLASSI_OUT 
82-Data do Encerramento;"Date 
DD/MM/AAAA";;"Data do 
encerramento do 
caso. ";"Se o campo 78- Classificação final do caso estiver preenchido. 
 
Data do encerramento deve ser > ou = a data do preenchimento. 
 
Data do encerramento deve ser < ou = a data da digitação (atual)";DT_ENCERRA 
12-Data de nascimento ;"Date 
DD/MM/AAAA";;"Data de nascimento 
do paciente.";Data deve ser <= a data dos primeiros sintomas.;DT_NASC 
35-Fatores de risco;Varchar2 (1) ;"1-Sim 
2-Não 
9-Ignorado ";"Paciente apresenta 
algum fator de risco";;FATOR_RISC
77- Data do Resultado;"Date 
DD/MM/AAAA";;Data do Resultado do Teste Sorológico;Data deve ser maior ou igual a 75- Data da Coleta ;DT_RES
80–Evolução do caso ;Varchar2(1);"1-Cura 
2-Óbito 
3- Óbito por outras causas 
9-Ignorado";Evolução do caso ;;EVOLUCAO 
81–Data da alta ou óbito ;"Date 
DD/MM/AAAA";;"Data da alta ou 
óbito";Data da alta ou do óbito deve ser > ou = a data dos primeiros sintomas e <= a data da digitação (atual). Habilitado se campo 80- Evolução do caso = 1 ou 2.;DT_EVOLUCA 
83- Número D.O ;;;Número da Declaração de Óbito ;Habilitado se o campo 80- Evolução do caso = 2 ou 3 ;NU_DO 
